Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Proft,Operating Margin,Sales Method
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Women's Street Footwear,65,320,20800,5200,0.25,Outlet
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Women's Athletic Footwear,65,300,19500,4875,0.25,Outlet
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Men's Apparel,75,275,20625,5156,0.25,Outlet
Amazon,1185732,11/21/2021,West,Alaska,Anchorage,Women's Apparel,80,375,30000,9000,0.3,Outlet
Amazon,1185732,12/20/2021,West,Alaska,Anchorage,Men's Street Footwear,75,600,45000,15750,0.35,Outlet
Amazon,1185732,12/20/2021,West,Alaska,Anchorage,Men's Athletic Footwear,65,400,26000,9100,0.35,Outlet
Amazon,1185732,12/2/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,60,725,43500,17400,0.4,Online
Amazon,1185732,12/2/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,60,675,40500,16200,0.4,Online
Amazon,1185732,12/2/2021,Southeast,North Carolina,Charlotte,Men's Apparel,70,675,47250,16538,0.35,Online
Amazon,1185732,12/2/2021,Southeast,North Carolina,Charlotte,Women's Apparel,75,775,58125,29063,0.5,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,35,775,27125,10850,0.4,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35,575,20125,7044,0.35,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,25,575,14375,5750,0.4,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,30,425,12750,5100,0.4,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Men's Apparel,45,475,21375,7481,0.35,Online
Amazon,1185732,1/13/2021,Southeast,North Carolina,Charlotte,Women's Apparel,35,575,20125,10063,0.5,Online
Amazon,1185732,2/11/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,35,825,28875,11550,0.4,Online
Amazon,1185732,2/11/2021,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35,475,16625,5819,0.35,Online
Amazon,1185732,2/11/2021,Southeast,North Carolina,Charlotte,Women's Street Footwear,25,525,13125,5250,0.4,Online
Amazon,1185732,2/11/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,375,11250,4500,0.4,Online
Amazon,1185732,2/11/2021,Midwest,Ohio,Columbus,Men's Apparel,45,450,20250,7088,0.35,Online
Amazon,1185732,2/11/2021,Midwest,Ohio,Columbus,Women's Apparel,30,550,16500,8250,0.5,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,30,770,23100,9240,0.4,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,450,13500,4725,0.35,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,475,9500,3800,0.4,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,0.4,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Men's Apparel,40,375,15000,5250,0.35,Online
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Apparel,30,475,14250,7125,0.5,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,30,725,21750,8700,0.4,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,425,12750,4463,0.35,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,0.4,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,0.4,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Men's Apparel,45,375,16875,5906,0.35,Online
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Apparel,35,525,18375,9188,0.5,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,45,795,35775,14310,0.4,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,500,22500,7875,0.35,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Women's Street Footwear,40,475,19000,7600,0.4,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,40,425,17000,6800,0.4,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Men's Apparel,50,450,22500,7875,0.35,Online
Amazon,1185732,5/9/2021,Midwest,Ohio,Columbus,Women's Apparel,55,550,30250,15125,0.5,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Men's Street Footwear,50,800,40000,16000,0.4,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,45,550,24750,8663,0.35,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Women's Street Footwear,50,525,26250,10500,0.4,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,50,500,25000,10000,0.4,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Men's Apparel,65,500,32500,11375,0.35,Online
Amazon,1185732,6/11/2021,Midwest,Ohio,Columbus,Women's Apparel,70,675,47250,23625,0.5,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,65,900,58500,23400,0.4,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,650,39000,13650,0.35,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Women's Street Footwear,55,575,31625,12650,0.4,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,55,525,28875,11550,0.4,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Men's Apparel,65,550,35750,12513,0.35,Online
Amazon,1185732,7/9/2021,Midwest,Ohio,Columbus,Women's Apparel,70,725,50750,25375,0.5,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,65,875,56875,22750,0.4,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,650,39000,13650,0.35,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,55,575,31625,12650,0.4,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,45,525,23625,9450,0.4,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Men's Apparel,55,500,27500,9625,0.35,Online
Amazon,1185732,8/10/2021,Midwest,Ohio,Columbus,Women's Apparel,60,675,40500,20250,0.5,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,55,775,42625,17050,0.4,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,50,575,28750,10063,0.35,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Women's Street Footwear,25,475,11875,4750,0.4,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,450,11250,4500,0.4,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Men's Apparel,35,450,15750,5513,0.35,Online
Amazon,1185732,9/9/2021,Midwest,Ohio,Columbus,Women's Apparel,40,550,22000,11000,0.5,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Men's Street Footwear,40,725,29000,11600,0.4,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,30,550,16500,5775,0.35,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,425,12750,5100,0.4,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,30,400,12000,4800,0.4,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Men's Apparel,40,400,16000,5600,0.35,Online
Amazon,1185732,10/11/2021,Midwest,Ohio,Columbus,Women's Apparel,40,525,21000,10500,0.5,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Men's Street Footwear,35,675,23625,9450,0.4,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,25,500,12500,4375,0.35,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Women's Street Footwear,35,445,15575,6230,0.4,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,65,500,32500,13000,0.4,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Men's Apparel,80,475,38000,13300,0.35,Online
Amazon,1185732,11/10/2021,Midwest,Ohio,Columbus,Women's Apparel,80,575,46000,23000,0.5,Online
Amazon,1185732,12/9/2021,Midwest,Ohio,Columbus,Men's Street Footwear,75,825,61875,24750,0.4,Online
Amazon,1185732,12/9/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,65,625,40625,14219,0.35,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Men's Street Footwear,40,500,20000,8000,0.4,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,40,300,12000,4200,0.35,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,0.4,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,35,150,5250,2100,0.4,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Men's Apparel,50,200,10000,3500,0.35,Online
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Apparel,40,300,12000,4800,0.4,Online
Amazon,1185732,2/22/2021,Midwest,Ohio,Columbus,Men's Street Footwear,40,550,22000,8800,0.4,Online
Amazon,1185732,2/22/2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,40,200,8000,2800,0.35,Online
Amazon,1185732,2/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,250,7500,3000,0.4,Online
Amazon,1185732,2/22/2021,Southeast,Kentucky,Louisville,Women's Athletic Footwear,35,125,4375,1750,0.4,Online
Amazon,1185732,2/22/2021,Southeast,Kentucky,Louisville,Men's Apparel,50,200,10000,3500,0.35,Online
Amazon,1185732,2/22/2021,Southeast,Kentucky,Louisville,Women's Apparel,40,300,12000,4800,0.4,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,45,520,23400,9360,0.4,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45,225,10125,3544,0.35,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Women's Street Footwear,35,250,8750,3500,0.4,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40,100,4000,1600,0.4,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Men's Apparel,55,150,8250,2888,0.35,Online
Amazon,1185732,3/21/2021,Southeast,Kentucky,Louisville,Women's Apparel,45,250,11250,4500,0.4,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,45,475,21375,8550,0.4,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45,175,7875,2756,0.35,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Women's Street Footwear,40,175,7000,2800,0.4,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Women's Athletic Footwear,45,100,4500,1800,0.4,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Men's Apparel,50,125,6250,2188,0.35,Online
Amazon,1185732,4/22/2021,Southeast,Kentucky,Louisville,Women's Apparel,40,250,10000,4000,0.4,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,50,520,26000,10400,0.4,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45,225,10125,3544,0.35,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Women's Street Footwear,40,200,8000,3200,0.4,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40,125,5000,2000,0.4,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Men's Apparel,50,150,7500,2625,0.35,Online
Amazon,1185732,5/23/2021,Southeast,Kentucky,Louisville,Women's Apparel,55,275,15125,6050,0.4,Online
Amazon,1185732,6/22/2021,Southeast,Kentucky,Louisville,Men's Street Footwear,40,525,21000,8400,0.4,Online
